employee_id,year_month,base_salary,overtime_hours,overtime_pay,bonus,pf,tax,insurance,loan_deduction,gross_salary,total_deductions,net_salary,created_at
1,2025-06,63158.0,3,1184.21,1000.0,7578.96,7578.96,1000.0,2000.0,65342.21,18157.92,47184.29,2025-09-17 23:22:34
2,2025-06,67194.0,3,1259.89,0.0,8063.28,8063.28,1000.0,0.0,68453.89,17126.56,51327.33,2025-09-17 23:22:34
3,2025-06,41023.0,7,1794.76,0.0,4922.76,4922.76,1000.0,5000.0,42817.76,15845.52,26972.24,2025-09-17 23:22:34
4,2025-06,32433.0,4,810.83,500.0,3891.96,3891.96,500.0,0.0,33743.83,8283.92,25459.91,2025-09-17 23:22:34
5,2025-06,53693.0,8,2684.65,1000.0,6443.16,6443.16,1000.0,5000.0,57377.65,18886.32,38491.33,2025-09-17 23:22:34
6,2025-06,70658.0,6,2649.68,0.0,8478.96,14131.6,1000.0,0.0,73307.68,23610.56,49697.12,2025-09-17 23:22:34
7,2025-06,44118.0,4,1102.95,0.0,5294.16,5294.16,1000.0,0.0,45220.95,11588.32,33632.63,2025-09-17 23:22:34
8,2025-06,75680.0,1,473.0,0.0,9081.6,15136.0,1000.0,0.0,76153.0,25217.6,50935.4,2025-09-17 23:22:34
9,2025-06,42502.0,7,1859.46,500.0,5100.24,5100.24,1000.0,0.0,44861.46,11200.48,33660.98,2025-09-17 23:22:34
10,2025-06,33433.0,3,626.87,0.0,4011.96,4011.96,500.0,0.0,34059.87,8523.92,25535.95,2025-09-17 23:22:34
11,2025-06,51483.0,4,1287.08,0.0,6177.96,6177.96,1000.0,1000.0,52770.08,14355.92,38414.16,2025-09-17 23:22:34
12,2025-06,70920.0,5,2216.25,1000.0,8510.4,14184.0,1000.0,5000.0,74136.25,28694.4,45441.85,2025-09-17 23:22:34
13,2025-06,26021.0,4,650.52,1000.0,3122.52,1301.05,500.0,2000.0,27671.52,6923.57,20747.95,2025-09-17 23:22:34
14,2025-06,34692.0,4,867.3,0.0,4163.04,4163.04,500.0,5000.0,35559.3,13826.08,21733.22,2025-09-17 23:22:34
15,2025-06,56557.0,4,1413.92,1000.0,6786.84,6786.84,1000.0,0.0,58970.92,14573.68,44397.24,2025-09-17 23:22:34
16,2025-06,49253.0,4,1231.33,500.0,5910.36,5910.36,1000.0,0.0,50984.33,12820.72,38163.61,2025-09-17 23:22:34
17,2025-06,49243.0,5,1538.84,2000.0,5909.16,5909.16,1000.0,0.0,52781.84,12818.32,39963.52,2025-09-17 23:22:34
18,2025-06,96214.0,4,2405.35,2000.0,11545.68,19242.8,1000.0,5000.0,100619.35,36788.48,63830.87,2025-09-17 23:22:34
19,2025-06,107592.0,6,4034.7,3000.0,12911.04,21518.4,1000.0,0.0,114626.7,35429.44,79197.26,2025-09-17 23:22:34
20,2025-06,74504.0,1,465.65,1000.0,8940.48,14900.8,1000.0,0.0,75969.65,24841.28,51128.37,2025-09-17 23:22:34
